2026-06-01 01:20:25,189 args = Namespace(data='./data', batch_size=256, learning_rate=0.1, weight_decay=0.0003, epochs=10, save='outputs/logs_search/darts', seed=2, one_shot_optimizer='darts')
2026-06-01 01:20:31,946 param size = 0.003022MB
2026-06-01 01:20:31,946 Starting epoch 1/10
2026-06-01 01:21:07,449 train mini-batch 067, loss=1.961309e+00 accuracy=26.051241
2026-06-01 01:21:07,995 train mini-batch 068, loss=1.955597e+00 accuracy=26.279438
2026-06-01 01:21:08,480 train mini-batch 069, loss=1.952013e+00 accuracy=26.422991
2026-06-01 01:21:09,008 train mini-batch 070, loss=1.946700e+00 accuracy=26.634023
2026-06-01 01:21:09,545 train mini-batch 071, loss=1.942825e+00 accuracy=26.730686
2026-06-01 01:21:10,074 train mini-batch 072, loss=1.938773e+00 accuracy=26.931721
2026-06-01 01:21:10,644 train mini-batch 073, loss=1.933682e+00 accuracy=27.153716
2026-06-01 01:21:11,124 train mini-batch 074, loss=1.929142e+00 accuracy=27.369792
2026-06-01 01:21:11,592 train mini-batch 075, loss=1.924360e+00 accuracy=27.611020
2026-06-01 01:21:12,112 train mini-batch 076, loss=1.919738e+00 accuracy=27.790179
2026-06-01 01:21:12,544 train mini-batch 077, loss=1.913939e+00 accuracy=27.994792
2026-06-01 01:21:13,041 train mini-batch 078, loss=1.909558e+00 accuracy=28.179391
2026-06-01 01:21:13,549 train mini-batch 079, loss=1.904181e+00 accuracy=28.393555
2026-06-01 01:21:14,106 train mini-batch 080, loss=1.899457e+00 accuracy=28.602431
2026-06-01 01:21:14,519 train mini-batch 081, loss=1.896364e+00 accuracy=28.715701
2026-06-01 01:21:15,132 train mini-batch 082, loss=1.891460e+00 accuracy=28.915663
2026-06-01 01:21:15,577 train mini-batch 083, loss=1.887328e+00 accuracy=29.115513
2026-06-01 01:21:16,061 train mini-batch 084, loss=1.883302e+00 accuracy=29.296875
2026-06-01 01:21:16,560 train mini-batch 085, loss=1.878822e+00 accuracy=29.510356
2026-06-01 01:21:17,082 train mini-batch 086, loss=1.874665e+00 accuracy=29.727909
2026-06-01 01:21:17,508 train mini-batch 087, loss=1.869497e+00 accuracy=29.962713
2026-06-01 01:21:18,018 train mini-batch 088, loss=1.865400e+00 accuracy=30.209796
2026-06-01 01:21:18,438 train mini-batch 089, loss=1.859434e+00 accuracy=30.464410
2026-06-01 01:21:18,962 train mini-batch 090, loss=1.855043e+00 accuracy=30.597527
2026-06-01 01:21:19,502 train mini-batch 091, loss=1.850698e+00 accuracy=30.787194
2026-06-01 01:21:19,998 train mini-batch 092, loss=1.846450e+00 accuracy=30.947581
2026-06-01 01:21:20,473 train mini-batch 093, loss=1.842849e+00 accuracy=31.038065
2026-06-01 01:21:21,005 train mini-batch 094, loss=1.838641e+00 accuracy=31.217105
2026-06-01 01:21:21,516 train mini-batch 095, loss=1.834997e+00 accuracy=31.376139
2026-06-01 01:21:22,050 train mini-batch 096, loss=1.830979e+00 accuracy=31.552030
2026-06-01 01:21:22,529 train mini-batch 097, loss=1.827297e+00 accuracy=31.712372
2026-06-01 01:21:22,967 train mini-batch 098, loss=1.822258e+00 accuracy=31.857639
2026-06-01 01:21:23,477 train mini-batch 099, loss=1.818447e+00 accuracy=32.000000
2026-06-01 01:21:24,022 train mini-batch 100, loss=1.814811e+00 accuracy=32.093131
2026-06-01 01:21:24,496 train mini-batch 101, loss=1.811060e+00 accuracy=32.199755
2026-06-01 01:21:24,998 train mini-batch 102, loss=1.806056e+00 accuracy=32.421875
2026-06-01 01:21:25,516 train mini-batch 103, loss=1.801648e+00 accuracy=32.594651
2026-06-01 01:21:26,046 train mini-batch 104, loss=1.798083e+00 accuracy=32.719494
2026-06-01 01:21:26,502 train mini-batch 105, loss=1.794684e+00 accuracy=32.853037
2026-06-01 01:21:27,065 train mini-batch 106, loss=1.791057e+00 accuracy=33.002336
2026-06-01 01:21:27,538 train mini-batch 107, loss=1.787340e+00 accuracy=33.130787
2026-06-01 01:21:28,046 train mini-batch 108, loss=1.784085e+00 accuracy=33.328555
2026-06-01 01:21:28,540 train mini-batch 109, loss=1.780081e+00 accuracy=33.473011
2026-06-01 01:21:29,052 train mini-batch 110, loss=1.776440e+00 accuracy=33.639499
2026-06-01 01:21:29,479 train mini-batch 111, loss=1.772887e+00 accuracy=33.789062
2026-06-01 01:21:29,984 train mini-batch 112, loss=1.768604e+00 accuracy=33.977461
2026-06-01 01:21:30,483 train mini-batch 113, loss=1.764350e+00 accuracy=34.159128
2026-06-01 01:21:30,911 train mini-batch 114, loss=1.760490e+00 accuracy=34.330842
2026-06-01 01:21:31,419 train mini-batch 115, loss=1.756316e+00 accuracy=34.442349
2026-06-01 01:21:31,961 train mini-batch 116, loss=1.752729e+00 accuracy=34.618723
2026-06-01 01:21:32,332 train mini-batch 117, loss=1.751869e+00 accuracy=34.640000
2026-06-01 01:21:32,336 train_acc 34.640000
2026-06-01 01:21:32,449 valid mini-batch 000, loss=2.078808e+00 accuracy=28.125000
2026-06-01 01:21:32,535 valid mini-batch 001, loss=2.043716e+00 accuracy=30.664062
2026-06-01 01:21:32,622 valid mini-batch 002, loss=2.041405e+00 accuracy=31.901042
2026-06-01 01:21:32,708 valid mini-batch 003, loss=2.025446e+00 accuracy=31.640625
2026-06-01 01:21:32,786 valid mini-batch 004, loss=2.009080e+00 accuracy=31.562500
2026-06-01 01:21:32,889 valid mini-batch 005, loss=2.033996e+00 accuracy=30.924479
2026-06-01 01:21:32,974 valid mini-batch 006, loss=2.012503e+00 accuracy=31.305804
2026-06-01 01:21:33,047 valid mini-batch 007, loss=2.005114e+00 accuracy=31.884766
2026-06-01 01:21:33,129 valid mini-batch 008, loss=1.992629e+00 accuracy=32.031250
2026-06-01 01:21:33,215 valid mini-batch 009, loss=1.997353e+00 accuracy=32.070312
2026-06-01 01:21:33,305 valid mini-batch 010, loss=2.001037e+00 accuracy=31.853693
2026-06-01 01:21:33,406 valid mini-batch 011, loss=2.016794e+00 accuracy=31.575521
2026-06-01 01:21:33,509 valid mini-batch 012, loss=2.008604e+00 accuracy=31.670673
2026-06-01 01:21:33,613 valid mini-batch 013, loss=1.996978e+00 accuracy=31.863839
2026-06-01 01:21:33,693 valid mini-batch 014, loss=2.002639e+00 accuracy=31.692708
2026-06-01 01:21:33,779 valid mini-batch 015, loss=1.997070e+00 accuracy=31.713867
2026-06-01 01:21:33,866 valid mini-batch 016, loss=1.998988e+00 accuracy=31.640625
2026-06-01 01:21:33,977 valid mini-batch 017, loss=2.001289e+00 accuracy=31.336806
2026-06-01 01:21:34,054 valid mini-batch 018, loss=2.000052e+00 accuracy=31.332237
2026-06-01 01:21:34,132 valid mini-batch 019, loss=2.003095e+00 accuracy=31.503906
2026-06-01 01:21:34,219 valid mini-batch 020, loss=2.000549e+00 accuracy=31.417411
2026-06-01 01:21:34,327 valid mini-batch 021, loss=1.997772e+00 accuracy=31.356534
2026-06-01 01:21:34,409 valid mini-batch 022, loss=1.993719e+00 accuracy=31.521739
2026-06-01 01:21:34,501 valid mini-batch 023, loss=1.984059e+00 accuracy=31.510417
2026-06-01 01:21:34,584 valid mini-batch 024, loss=1.988096e+00 accuracy=31.500000
2026-06-01 01:21:34,671 valid mini-batch 025, loss=1.982278e+00 accuracy=31.535457
2026-06-01 01:21:34,762 valid mini-batch 026, loss=1.978800e+00 accuracy=31.727431
2026-06-01 01:21:34,852 valid mini-batch 027, loss=1.976244e+00 accuracy=31.612723
2026-06-01 01:21:34,957 valid mini-batch 028, loss=1.973058e+00 accuracy=31.802263
2026-06-01 01:21:35,041 valid mini-batch 029, loss=1.970026e+00 accuracy=31.901042
2026-06-01 01:21:35,140 valid mini-batch 030, loss=1.971107e+00 accuracy=31.892641
2026-06-01 01:21:35,241 valid mini-batch 031, loss=1.973880e+00 accuracy=31.896973
2026-06-01 01:21:35,328 valid mini-batch 032, loss=1.967169e+00 accuracy=31.960227
2026-06-01 01:21:35,415 valid mini-batch 033, loss=1.964556e+00 accuracy=32.088695
2026-06-01 01:21:35,504 valid mini-batch 034, loss=1.964379e+00 accuracy=32.232143
2026-06-01 01:21:35,590 valid mini-batch 035, loss=1.960965e+00 accuracy=32.280816
2026-06-01 01:21:35,686 valid mini-batch 036, loss=1.960473e+00 accuracy=32.200169
2026-06-01 01:21:35,760 valid mini-batch 037, loss=1.963117e+00 accuracy=32.113487
2026-06-01 01:21:35,852 valid mini-batch 038, loss=1.962261e+00 accuracy=32.161458
2026-06-01 01:21:35,931 valid mini-batch 039, loss=1.959579e+00 accuracy=32.138672
2026-06-01 01:21:36,051 valid mini-batch 040, loss=1.961947e+00 accuracy=32.088415
2026-06-01 01:21:36,138 valid mini-batch 041, loss=1.961465e+00 accuracy=32.124256
2026-06-01 01:21:36,223 valid mini-batch 042, loss=1.960101e+00 accuracy=32.176599
2026-06-01 01:21:36,323 valid mini-batch 043, loss=1.959176e+00 accuracy=32.208807
2026-06-01 01:21:36,410 valid mini-batch 044, loss=1.960824e+00 accuracy=32.187500
2026-06-01 01:21:36,489 valid mini-batch 045, loss=1.961154e+00 accuracy=32.116168
2026-06-01 01:21:36,573 valid mini-batch 046, loss=1.961200e+00 accuracy=32.081117
2026-06-01 01:21:36,657 valid mini-batch 047, loss=1.957527e+00 accuracy=32.104492
2026-06-01 01:21:36,735 valid mini-batch 048, loss=1.958174e+00 accuracy=32.134885
2026-06-01 01:21:36,818 valid mini-batch 049, loss=1.961743e+00 accuracy=32.132812
2026-06-01 01:21:36,906 valid mini-batch 050, loss=1.960300e+00 accuracy=32.084865
2026-06-01 01:21:37,000 valid mini-batch 051, loss=1.958163e+00 accuracy=32.173978
2026-06-01 01:21:37,080 valid mini-batch 052, loss=1.959485e+00 accuracy=32.141804
2026-06-01 01:21:37,176 valid mini-batch 053, loss=1.962129e+00 accuracy=32.038484
2026-06-01 01:21:37,258 valid mini-batch 054, loss=1.962133e+00 accuracy=32.116477
2026-06-01 01:21:37,340 valid mini-batch 055, loss=1.960912e+00 accuracy=32.170759
2026-06-01 01:21:37,424 valid mini-batch 056, loss=1.963161e+00 accuracy=32.147752
2026-06-01 01:21:37,506 valid mini-batch 057, loss=1.965422e+00 accuracy=32.044720
2026-06-01 01:21:37,594 valid mini-batch 058, loss=1.964368e+00 accuracy=32.064354
2026-06-01 01:21:37,666 valid mini-batch 059, loss=1.965895e+00 accuracy=32.044271
2026-06-01 01:21:37,758 valid mini-batch 060, loss=1.964324e+00 accuracy=32.063268
2026-06-01 01:21:37,839 valid mini-batch 061, loss=1.967293e+00 accuracy=32.018649
2026-06-01 01:21:37,919 valid mini-batch 062, loss=1.968699e+00 accuracy=32.006448
2026-06-01 01:21:38,039 valid mini-batch 063, loss=1.968639e+00 accuracy=32.073975
2026-06-01 01:21:38,117 valid mini-batch 064, loss=1.969102e+00 accuracy=32.031250
2026-06-01 01:21:38,205 valid mini-batch 065, loss=1.970337e+00 accuracy=31.977983
2026-06-01 01:21:38,292 valid mini-batch 066, loss=1.971204e+00 accuracy=32.048741
2026-06-01 01:21:38,382 valid mini-batch 067, loss=1.969639e+00 accuracy=32.140395
2026-06-01 01:21:38,465 valid mini-batch 068, loss=1.970553e+00 accuracy=32.161458
2026-06-01 01:21:38,555 valid mini-batch 069, loss=1.970011e+00 accuracy=32.176339
2026-06-01 01:21:38,637 valid mini-batch 070, loss=1.969610e+00 accuracy=32.185299
2026-06-01 01:21:38,716 valid mini-batch 071, loss=1.970669e+00 accuracy=32.150608
2026-06-01 01:21:38,831 valid mini-batch 072, loss=1.970358e+00 accuracy=32.138271
2026-06-01 01:21:38,940 valid mini-batch 073, loss=1.970485e+00 accuracy=32.184333
2026-06-01 01:21:39,021 valid mini-batch 074, loss=1.970417e+00 accuracy=32.187500
2026-06-01 01:21:39,119 valid mini-batch 075, loss=1.971820e+00 accuracy=32.180304
2026-06-01 01:21:39,229 valid mini-batch 076, loss=1.974398e+00 accuracy=32.132711
2026-06-01 01:21:39,349 valid mini-batch 077, loss=1.975404e+00 accuracy=32.096354
2026-06-01 01:21:39,431 valid mini-batch 078, loss=1.974909e+00 accuracy=32.105419
2026-06-01 01:21:39,514 valid mini-batch 079, loss=1.976004e+00 accuracy=32.119141
